language,n,status,wall_time_s,max_rss,stdout_time_s
c,10,ok,0.638306,1294336,0.000001
java,10,ok,0.074451,45645824,"0,000018"
python_pure,10,ok,0.042374,16547840,0.000112
python_numpy,10,ok,0.099409,33406976,0.000031
c,100,ok,0.008160,1572864,0.000135
java,100,ok,0.065252,46694400,"0,003144"
python_pure,100,ok,0.119402,17809408,0.082859
python_numpy,100,ok,0.086559,33456128,0.002950
c,1000,ok,0.185684,25411584,0.162177
java,1000,ok,0.339282,96763904,"0,236244"
python_pure,1000,ok,87.669257,145981440,87.475221
python_numpy,1000,ok,0.094773,65748992,0.006777
c,10000,ok,231.735738,2401402880,230.137830
java,10000,timeout,,,
python_pure,10000,timeout,,,
python_numpy,10000,ok,5.702420,2440232960,4.625949
